Instance,Source component,Source component app name,App owner,Composite component,Called component,Called component app name,,
Colombus,PCARR010,Actuarial,"Hutto, Amy",ICRB510X,UTCB9010,Actuarial,#N/A,#N/A
Colombus,PCARR010,Actuarial,"Hutto, Amy",ICRB510X,UTCB9020,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRB5105,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRB5205,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRB5300,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRB5400,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRB5500,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRU0400,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRU0500,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRU0900,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,ICRU1000,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,IUTU0100,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,UTCB9010,Actuarial,#N/A,#N/A
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,UTCB9020,Actuarial,#N/A,#N/A
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,IDPI995,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,VSAMIO,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,DISAMIO,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,UTAB1001,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",LT05X,LT05,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
