CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
CPCO0272,COBOL,Found In Newyork,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0403,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0404,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0445,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0446,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0447,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO046A,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCO0875,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
PCABB010,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
APPSABNW,DCLGEN,Missing,COPYBOOK,AP,Actuarial,"Hutto, Amy"
NP00020X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CPUGMMS1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPUGMMS2,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIAFLHS,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSGRMST,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
APPSABNC,DCLGEN,Missing,COPYBOOK,AP,Actuarial,"Hutto, Amy"
CPSGCPRI,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDGRPAD,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDGPN01,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFGPN01,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFGRPAD,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPNO0020,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
COCBS090,COBOL,Missing,-,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CODATEM,DCLGEN,Missing,COPYBOOK,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CODASEC,DCLGEN,Missing,COPYBOOK,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCC7080,COPYBOOK,Missing,DCLGEN,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOP011,COBOL,Missing,-,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCOP420,COBOL,Missing,-,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
COCC6080,DCLGEN,Missing,COPYBOOK,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CPC6000X,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000I,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000O,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000J,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000C,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000L,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPC6000K,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCC0111,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPCC0112,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
FGCPM,MAPS,Missing,-,FG,Life 70 - General Accounting,"Hutto, Amy"
FGPM,COBOL,Missing,-,FG,Life 70 - General Accounting,"Hutto, Amy"
PMRREAD1,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
NPCU001X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NBDS0030,DCLGEN,Missing,COPYBOOK,NB,Batch Trac,"Hutto, Amy"
NBCS0321,DCLGEN,Missing,COPYBOOK,NB,Batch Trac,"Hutto, Amy"
NBFS0321,DCLGEN,Missing,COPYBOOK,NB,Batch Trac,"Hutto, Amy"
NBT2,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NBT3,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NBXM1,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NB85,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NB90,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
NP111,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NFCICONT,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCIAGNM,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCICUDT,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCICUST,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCILFBD,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCILFSP,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NFCIRQUR,DCLGEN,Missing,COPYBOOK,NF,New Business Scorecard,"Hutto, Amy"
NP11097,MAPS,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070I,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070O,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070J,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070C,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070L,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPC0070K,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPCB0227,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPCU0015,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NVCALL,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CPCCP123,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPCCP126,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPCCP128,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPCCP124,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIISTDB,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIEVENT,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIREQST,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIINVOI,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIRESPS,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSSEVNT,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSSHINV,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPUSHINV,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSSREQU,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSSRESP,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSSINVO,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPUSRESP,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHEVNT,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHINVO,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHREQ1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHRES1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHSCN1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPISCANL,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPISCANE,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSBNKDC,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSBNKDN,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPUSREQ1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPUSREQU,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPSLANGI,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFMI001,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPFAI001,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHSCE1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPIHPORE,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSINVO,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSRES1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSSDE1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSSCN1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSPOR1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSREQ1,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPDSEVNT,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
CPCCP020,DCLGEN,Missing,COPYBOOK,CP,Policy Remarks,"Hutto, Amy"
POCC0633,DCLGEN,Missing,COPYBOOK,PO,Omega Reissues,"Hutto, Amy"
PCCB9003,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PMCP120X,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCP120I,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCP120O,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMCP120J,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
