CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
FGAB001X,COBOL,Missing,-,FG,Life 70 - General Accounting,"Hutto, Amy"
CPLUAP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLURP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLAEV,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLAP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLRP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLTBLG,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLUBR,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLUCX,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLUCR,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLPMTMA,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCMTMU,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLUMMC,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLCRC,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLBR,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLLBH,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
APS90000,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90010,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90015,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS99006,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90020,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90050,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90070,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS91050,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS91055,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS91060,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS90005,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APS99005,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
CPLCC9D,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCRCF,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCCRRC,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLCOCI,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
SAPTYPE,CONTROL_CARD,Missing,-,AP,Actuarial,"Hutto, Amy"
CPLEDTIN,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLPDTIN,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLPNSRT,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLPNSSP,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPLPNSSO,COBOL,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CFG012,PROC,Missing,-,FG,Life 70 - General Accounting,"Hutto, Amy"
JAPANABC,CONTROL_CARD,Missing,-,AP,Actuarial,"Hutto, Amy"
NV5S2500,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NV5S0300,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
AP20000X,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APCARD,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
AP29000X,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
PCEBHCR1,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEBHCR2,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEBHCR3,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEBHCR4,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
AP30000X,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
AP40000X,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
FATS,CONTROL_CARD,Missing,-,AT,Actuarial,"Hutto, Amy"
OPENMOBW,CONTROL_CARD,Missing,-,PE,Policy Exceptions,"Hutto, Amy"
CJRPN000,CONTROL_CARD,Missing,-,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CJRPN010,CONTROL_CARD,Missing,-,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
CAPFAUTH,PROC,Missing,JCL,AP,Actuarial,"Hutto, Amy"
APCODEX,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APCODPT,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
AP10000X,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
PG11PROD,COBOL,Missing,-,PG,Omega Letter Generation,"Hutto, Amy"
COMMPR,COBOL,Missing,-,CO,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
PCVE0120,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CNFMSAPC1,CONTROL_CARD,Missing,-,NF,New Business Scorecard,"Hutto, Amy"
NP50039X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP2000SX,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PPIE0100,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
NP49000X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPAB020X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PREB0200,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0210,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0220,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0230,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0235,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0240,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PCVE0495,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0496,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0310,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE041A,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0390,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0400,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0420,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0430,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0440,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NPAB050X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP81001X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP81002X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP83000X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PREB0081,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
NP85000X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP85010X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP85011X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP85012X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PREB0080,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
NP84Z00X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NP83650X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PCVE0500,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POEB0015,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POEB0120,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PREB0245,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0940,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0250,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0260,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0270,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0280,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0290,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0550,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0560,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
PREB0570,COBOL,Missing,-,PR,Rerates,"Hutto, Amy"
CNPST533,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNPST534,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNPST535,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNPST536,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP366,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP362,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP368,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PNP185S1,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPRBPRTX,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP30001,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP30002,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP30003,CONTROL_CARD,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP367,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP363,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNP369,PROC,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
APRETDTE,CONTROL_CARD,Missing,-,PR,Rerates,"Hutto, Amy"
PCEB5000,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0415,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCVE0409,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CNVDOWNG,CONTROL_CARD,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
POEB0020,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POEB0230,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB0710,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0720,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NVEB0200,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NVEB0320,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NVEB1510,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NPEB0521,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
CNVCOMRT,CONTROL_CARD,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NPEB0517,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NPEB0519,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
NVEB0230,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NVCB0240,COBOL,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
PCEB0033,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0012,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0002,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0003,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0013,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB2700,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0017,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0018,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0027,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0028,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0019,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0021,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0024,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0052,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0063,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0065,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPBE0070,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PCPBR240,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
PGBE0005,COBOL,Missing,-,PG,Omega Letter Generation,"Hutto, Amy"
PPBE0010,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPBC0025,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
ICPB033,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB057P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB333,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB058,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB058S,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB062,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB063,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB064P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB066,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB067,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB067P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB068,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB069,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB069P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB071W,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB071P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB071B,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB073,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB073P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB074,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB077,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB077P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB078,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB079,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB079P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB082,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB083,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB083P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB087,CONTROL_CARD,Found In Newyork,-,CP,Policy Remarks,"Hutto, Amy"
ICPB088,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB088P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB089,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB098,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB099,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB100,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB100P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB102,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB103,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB103P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB107,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB104,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB104P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB061,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
ICPB061P,CONTROL_CARD,Missing,-,CP,Policy Remarks,"Hutto, Amy"
CPCB8351,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPCB8151,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NATPROD,CONTROL_CARD,Missing,-,AT,Actuarial,"Hutto, Amy"
CNVACHST,CONTROL_CARD,Missing,-,NV,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
PCEB0008,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NP39000X,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
PCEB0751,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0752,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0753,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0805,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0995,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1670,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0290,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0280,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0511,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0102,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POEB0155,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB0015,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POEB0113,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POEB0284,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POEB0286,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB0901,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POEB0550,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB0110,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCCB010X,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC570,PROC,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0160,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0150,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC01070,CONTROL_CARD,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0025,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPYE0160,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0165,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0055,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
POEB0240,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB1655,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1660,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PLEB0015,COBOL,Missing,-,PL,Omega Lit,"Hutto, Amy"
PCEB0850,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0650,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0660,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPFE0031,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPFE0040,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPBE0100,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PCEB3375,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03011,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03012,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03013,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03014,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03021,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03022,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03023,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03024,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03031,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03032,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03033,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPC03034,CONTROL_CARD,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0030,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1665,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0040,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0050,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0055,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0446,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0500,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0508,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0510,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0530,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0608,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0609,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0000,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0255,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0900,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0090,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POEB0118,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
POEB0046,COBOL,Missing,-,PO,Omega Reissues,"Hutto, Amy"
PCEB0855,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEBJLP0,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEBJLP1,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB0035,EZPLUS,Found In Newyork,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPYE0200,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PCEB0600,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPYE2000,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PMSA100X,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PMSE0130,COBOL,Missing,-,PM,Policy Master Record Inquiry,"Hutto, Amy"
PPIE0005,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0010,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0015,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PCEB1430,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1440,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCEB1450,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PPIE0025,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0030,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0035,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0040,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPIE0045,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0025,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0035,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0040,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0050,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0100,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0105,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0110,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
PPYE0115,COBOL,Missing,-,PP,Policy Pages,"Hutto, Amy"
