component_name,component_type,tloc,orphan,Inscope
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
unikixepi.err,COBOL,1,Yes,No
VMI110,COBOL,1149,Yes,Yes
VMI115,COBOL,1578,Yes,Yes
VMI120,COBOL,1257,No,Yes
VMI130,COBOL,1967,No,Yes
VMI125,COBOL,2535,No,Yes
VMI150,COBOL,1669,No,Yes
VMI145,COBOL,1334,No,Yes
VMI158,COBOL,735,No,Yes
VMI159,COBOL,573,No,Yes
VMI165,COBOL,2023,No,Yes
VMI175,COBOL,1257,No,Yes
VMI180,COBOL,1271,No,Yes
VMI190,COBOL,1545,No,Yes
VMI160,COBOL,1149,No,Yes
VMI205,COBOL,1566,No,Yes
VMI225,COBOL,1307,No,Yes
VMI22C8B,COBOL,568,No,Yes
VMI22C9B,COBOL,568,No,Yes
VMI210,COBOL,1776,No,Yes
VMI230,COBOL,821,No,Yes
VMI235,COBOL,1068,No,Yes
VMI236,COBOL,615,No,Yes
VMI237,COBOL,597,No,Yes
VMI22CAB,COBOL,568,No,Yes
VMI238,COBOL,753,No,Yes
VMI240,COBOL,2366,No,Yes
VMI245,COBOL,1540,No,Yes
VMI265,COBOL,2197,No,Yes
VMI300,COBOL,2555,No,Yes
VMI502,COBOL,1934,No,Yes
VMI508,COBOL,3541,No,Yes
VMI509,COBOL,710,No,Yes
VMI510,COBOL,627,No,Yes
VMI51C1B,COBOL,213,No,Yes
VMI500,COBOL,1791,No,Yes
VMI53CE2,COBOL,557,No,Yes
VMI53CE1,COBOL,604,No,Yes
VMI56CS3,COBOL,148,No,Yes
VMI58CD1,COBOL,175,No,Yes
VMI600,COBOL,1199,No,Yes
VMI602,COBOL,1472,No,Yes
VMI56C1B,COBOL,161,No,Yes
VMI620,COBOL,820,No,Yes
VMI630,COBOL,950,No,Yes
VMI640,COBOL,1143,No,Yes
VMI610,COBOL,1018,No,Yes
VMI65CWA,COBOL,298,No,Yes
VMI65CWB,COBOL,302,No,Yes
VMI650,COBOL,978,No,Yes
WCM200,COBOL,2377,No,Yes
WCM210,COBOL,4563,No,Yes
WCM220,COBOL,7620,No,Yes
WCM960,COBOL,864,No,Yes
WMP300,COBOL,2619,No,Yes
WMP305,COBOL,819,No,Yes
VMI690,COBOL,3209,No,Yes
WMP310,COBOL,910,No,Yes
WMP350,COBOL,1743,No,Yes
WMP360,COBOL,880,No,Yes
WMP400,COBOL,2906,No,Yes
WMP451,COBOL,530,No,Yes
WMP500,COBOL,1994,No,Yes
WMP450,COBOL,1678,No,Yes
WMP520,COBOL,1999,No,Yes
XLO100,COBOL,1180,No,Yes
WMP510,COBOL,2491,No,Yes
XLO210,COBOL,1586,No,Yes
XLO300,COBOL,2266,No,Yes
XLO200,COBOL,2132,No,Yes
XM02P01,COBOL,336,No,Yes
XM04P01,COBOL,628,No,Yes
XM01P01,COBOL,1228,No,Yes
XM10P01,COBOL,96,No,Yes
XM11P01,COBOL,601,No,Yes
XPR010,COBOL,3817,Yes,Yes
XM05P01,COBOL,250,No,Yes
XPR110,COBOL,2926,No,Yes
XPR200,COBOL,1736,No,Yes
XPR300,COBOL,711,No,Yes
XPR100,COBOL,3309,No,Yes
XPR410,COBOL,883,No,Yes
XPR420,COBOL,429,No,Yes
XPR430,COBOL,1718,No,Yes
XPR600,COBOL,2338,No,Yes
XPR700,COBOL,1093,No,Yes
XPR400,COBOL,2159,No,Yes
ZB10P01,COBOL,1097,Yes,Yes
ZB11P01,COBOL,533,Yes,Yes
ZB12P01,COBOL,850,Yes,Yes
ZB12P02,COBOL,1143,Yes,Yes
XPR900,COBOL,1085,No,Yes
ZB15P01,COBOL,655,Yes,Yes
ZB16P01,COBOL,1222,Yes,Yes
ZB18P01,COBOL,1227,No,Yes
ZB19P01,COBOL,416,Yes,Yes
ZB14P01,COBOL,569,Yes,Yes
ZC10P01,COBOL,994,Yes,Yes
ZC11P01,COBOL,671,Yes,Yes
ZC12P01,COBOL,684,Yes,Yes
ZC13P01,COBOL,814,Yes,Yes
ZB20P01,COBOL,567,Yes,Yes
ZC15P01,COBOL,701,Yes,Yes
ZC14P01,COBOL,643,Yes,Yes
ZC16P01,COBOL,691,Yes,Yes
ZC17P01,COBOL,460,Yes,Yes
ZC19P01,COBOL,6787,Yes,Yes
ZC20P01,COBOL,1314,Yes,Yes
ZC21P01,COBOL,265,Yes,Yes
ZC22P01,COBOL,162,Yes,Yes
ZC23P01,COBOL,143,Yes,Yes
ZC24P01,COBOL,538,Yes,Yes
ZC25P01,COBOL,344,Yes,Yes
ZC18P01,COBOL,402,Yes,Yes
ZCSJP01,COBOL,434,Yes,Yes
ZD10P01,COBOL,197,Yes,Yes
ZD30P01,COBOL,2078,Yes,Yes
ZD40P01,COBOL,558,Yes,Yes
ZD20P01,COBOL,1000,No,Yes
ZD50P01,COBOL,563,No,Yes
ZE01P01,COBOL,244,Yes,Yes
ZE02P01,COBOL,633,Yes,Yes
ZE04P01,COBOL,494,Yes,Yes
ZE03P01,COBOL,661,Yes,Yes
ZE05P01,COBOL,587,Yes,Yes
ZZ10P01,COBOL,143,Yes,Yes
ZZ15P01,COBOL,1214,Yes,Yes
ZZ89P01,COBOL,935,No,Yes
ZZ90P01,COBOL,6129,No,Yes
ZZ91P01,COBOL,2373,No,Yes
ZZ92P01,COBOL,1445,No,Yes
ZZ93P01,COBOL,2025,No,Yes
ZZ11P01,COBOL,210,Yes,Yes
ZZ94P01,COBOL,1462,No,Yes
ZZ95P01,COBOL,1447,No,Yes
ADJSKUDC,COPYBOOK,55,No,Yes
ZZ96P01,COBOL,1061,No,Yes
ADJSKUSTR,COPYBOOK,56,No,Yes
ADS05U,COPYBOOK,62,No,Yes
ADS06U,COPYBOOK,156,No,Yes
ADS30O,COPYBOOK,23,No,Yes
ADS31O,COPYBOOK,24,No,Yes
ADS32O,COPYBOOK,25,No,Yes
ADS44F,COPYBOOK,110,No,Yes
ADS54F,COPYBOOK,80,No,Yes
ADS12D,COPYBOOK,150,No,Yes
ADS54M,COPYBOOK,80,No,Yes
ADS74R,COPYBOOK,87,No,Yes
ADS95C,COPYBOOK,57,No,Yes
ADSWGA,COPYBOOK,9,No,Yes
APS00F,COPYBOOK,58,No,Yes
APS01F,COPYBOOK,23,No,Yes
APS01T,COPYBOOK,38,No,Yes
APS002C1,COPYBOOK,173,No,Yes
APS03U,COPYBOOK,374,No,Yes
APS04D,COPYBOOK,24,No,Yes
APS04I,COPYBOOK,19,No,Yes
APS02W,COPYBOOK,12,No,Yes
APS04S,COPYBOOK,15,No,Yes
APS04U,COPYBOOK,35,No,Yes
APS04L,COPYBOOK,23,No,Yes
APS07U,COPYBOOK,70,No,Yes
APS04W,COPYBOOK,25,No,Yes
APS09R,COPYBOOK,99,No,Yes
APS08G,COPYBOOK,21,No,Yes
APS11M,COPYBOOK,75,No,Yes
APS11R,COPYBOOK,30,No,Yes
APS10M,COPYBOOK,23,No,Yes
APS12C,COPYBOOK,26,No,Yes
APS11S,COPYBOOK,31,No,Yes
APS12G,COPYBOOK,65,No,Yes
APS12F,COPYBOOK,32,No,Yes
APS12L,COPYBOOK,31,No,Yes
APS12M,COPYBOOK,75,No,Yes
APS12I,COPYBOOK,21,No,Yes
APS13P,COPYBOOK,231,No,Yes
APS13S,COPYBOOK,149,No,Yes
APS12P,COPYBOOK,40,No,Yes
APS14D,COPYBOOK,237,No,Yes
APS14C,COPYBOOK,225,No,Yes
APS14L,COPYBOOK,33,No,Yes
APS14G,COPYBOOK,58,No,Yes
APS15I,COPYBOOK,19,No,Yes
APS15J,COPYBOOK,59,No,Yes
APS14S,COPYBOOK,192,No,Yes
APS16I,COPYBOOK,73,No,Yes
APS15R,COPYBOOK,30,No,Yes
APS16S,COPYBOOK,337,No,Yes
APS16P,COPYBOOK,76,No,Yes
APS17CRH,COPYBOOK,36,No,Yes
APS17C,COPYBOOK,35,No,Yes
APS17I,COPYBOOK,28,No,Yes
APS17G,COPYBOOK,61,No,Yes
APS17P,COPYBOOK,402,No,Yes
APS17J,COPYBOOK,38,No,Yes
APS18E,COPYBOOK,159,No,Yes
APS18F,COPYBOOK,169,No,Yes
APS18G,COPYBOOK,57,No,Yes
APS18GRH,COPYBOOK,51,No,Yes
APS18B,COPYBOOK,89,No,Yes
APS18I,COPYBOOK,19,No,Yes
APS18P,COPYBOOK,39,No,Yes
APS18S,COPYBOOK,195,No,Yes
APS19C,COPYBOOK,89,No,Yes
APS19E,COPYBOOK,48,No,Yes
APS19GRH,COPYBOOK,98,No,Yes
APS19S,COPYBOOK,81,No,Yes
APS19G,COPYBOOK,126,No,Yes
APS20E,COPYBOOK,127,No,Yes
APS20G,COPYBOOK,64,No,Yes
APS20C,COPYBOOK,30,No,Yes
APS20I,COPYBOOK,45,No,Yes
APS20L,COPYBOOK,34,No,Yes
APS20GRH,COPYBOOK,63,No,Yes
APS21D,COPYBOOK,186,No,Yes
APS21S,COPYBOOK,66,No,Yes
APS20V,COPYBOOK,146,No,Yes
APS22A,COPYBOOK,93,No,Yes
APS22B,COPYBOOK,64,No,Yes
APS21V,COPYBOOK,33,No,Yes
APS22E,COPYBOOK,239,No,Yes
APS22R,COPYBOOK,22,No,Yes
APS22C,COPYBOOK,60,No,Yes
APS23I,COPYBOOK,84,No,Yes
APS24C,COPYBOOK,134,No,Yes
APS24I,COPYBOOK,49,No,Yes
APS23C,COPYBOOK,243,No,Yes
APS25C,COPYBOOK,112,No,Yes
APS26E,COPYBOOK,268,No,Yes
APS27C,COPYBOOK,75,No,Yes
APS24J,COPYBOOK,19,No,Yes
APS28S,COPYBOOK,188,No,Yes
APS28C,COPYBOOK,401,No,Yes
APS29A,COPYBOOK,2887,No,Yes
APS29B,COPYBOOK,74,No,Yes
APS29L,COPYBOOK,435,No,Yes
APS29LRH,COPYBOOK,248,No,Yes
APS29M,COPYBOOK,181,No,Yes
APS29V,COPYBOOK,1005,No,Yes
APS29P,COPYBOOK,2976,No,Yes
APS30D,COPYBOOK,47,No,Yes
APS30C,COPYBOOK,46,No,Yes
APS30H,COPYBOOK,70,No,Yes
APS30E,COPYBOOK,47,No,Yes
APS30I,COPYBOOK,49,No,Yes
APS30K,COPYBOOK,62,No,Yes
APS30J,COPYBOOK,82,No,Yes
APS31C,COPYBOOK,40,No,Yes
APS30L,COPYBOOK,35,No,Yes
APS31V,COPYBOOK,132,No,Yes
APS31D,COPYBOOK,196,No,Yes
APS32D,COPYBOOK,25,No,Yes
APS32C,COPYBOOK,165,No,Yes
APS32FRH,COPYBOOK,74,No,Yes
APS32P,COPYBOOK,47,No,Yes
APS33B,COPYBOOK,231,No,Yes
APS33BRH,COPYBOOK,155,No,Yes
APS33F,COPYBOOK,20,No,Yes
APS33P,COPYBOOK,26,No,Yes
APS32F,COPYBOOK,73,No,Yes
APS34B,COPYBOOK,54,No,Yes
APS34C,COPYBOOK,48,No,Yes
APS34S,COPYBOOK,21,No,Yes
APS35A,COPYBOOK,18,No,Yes
APS35M,COPYBOOK,22,No,Yes
APS35V,COPYBOOK,44,No,Yes
APS36C,COPYBOOK,135,No,Yes
APS36M,COPYBOOK,205,No,Yes
APS35L,COPYBOOK,38,No,Yes
APS36R,COPYBOOK,151,No,Yes
APS36P,COPYBOOK,455,No,Yes
APS37C,COPYBOOK,27,No,Yes
APS37G,COPYBOOK,34,No,Yes
APS37M,COPYBOOK,29,No,Yes
APS37RRH,COPYBOOK,187,No,Yes
APS38G,COPYBOOK,32,No,Yes
APS38T,COPYBOOK,38,No,Yes
APS37R,COPYBOOK,188,No,Yes
APS39G,COPYBOOK,26,No,Yes
APS39GRH,COPYBOOK,22,No,Yes
APS39D,COPYBOOK,95,No,Yes
APS40E,COPYBOOK,135,No,Yes
APS40F,COPYBOOK,111,No,Yes
APS40P,COPYBOOK,87,No,Yes
APS40D,COPYBOOK,116,No,Yes
APS41B,COPYBOOK,31,No,Yes
APS41C,COPYBOOK,36,No,Yes
APS41D,COPYBOOK,48,No,Yes
APS40PRH,COPYBOOK,68,No,Yes
APS41P,COPYBOOK,115,No,Yes
APS41PRH,COPYBOOK,109,No,Yes
APS41W,COPYBOOK,137,No,Yes
APS41G,COPYBOOK,27,No,Yes
APS42C,COPYBOOK,50,No,Yes
APS42E,COPYBOOK,246,No,Yes
APS42F,COPYBOOK,170,No,Yes
APS42B,COPYBOOK,295,No,Yes
APS42P,COPYBOOK,53,No,Yes
APS42PRH,COPYBOOK,48,No,Yes
APS42K,COPYBOOK,26,No,Yes
APS43C,COPYBOOK,9,No,Yes
APS42W,COPYBOOK,186,No,Yes
APS43P,COPYBOOK,79,No,Yes
APS43D,COPYBOOK,9,No,Yes
APS43S,COPYBOOK,20,No,Yes
APS43PRH,COPYBOOK,68,No,Yes
APS43V,COPYBOOK,331,No,Yes
APS43X,COPYBOOK,54,No,Yes
APS43U,COPYBOOK,210,No,Yes
APS44C,COPYBOOK,98,No,Yes
APS44B,COPYBOOK,59,No,Yes
APS44P,COPYBOOK,454,No,Yes
APS44G,COPYBOOK,45,No,Yes
APS44U,COPYBOOK,29,No,Yes
APS44PRH,COPYBOOK,376,No,Yes
APS45P,COPYBOOK,89,No,Yes
APS45Q,COPYBOOK,185,No,Yes
APS44V,COPYBOOK,87,No,Yes
APS46D,COPYBOOK,93,No,Yes
APS46P,COPYBOOK,54,No,Yes
APS45U,COPYBOOK,87,No,Yes
APS47C,COPYBOOK,49,No,Yes
APS47P,COPYBOOK,75,No,Yes
APS46PRH,COPYBOOK,52,No,Yes
APS48P,COPYBOOK,155,No,Yes
APS47U,COPYBOOK,52,No,Yes
APS49C,COPYBOOK,63,No,Yes
APS48U,COPYBOOK,31,No,Yes
APS49PRH,COPYBOOK,73,No,Yes
APS49S,COPYBOOK,53,No,Yes
APS49P,COPYBOOK,71,No,Yes
APS50B,COPYBOOK,82,No,Yes
APS50R,COPYBOOK,26,No,Yes
APS49V,COPYBOOK,81,No,Yes
APS50U,COPYBOOK,34,No,Yes
APS50W,COPYBOOK,107,No,Yes
APS50RRH,COPYBOOK,27,No,Yes
APS51B,COPYBOOK,233,No,Yes
APS51C,COPYBOOK,66,No,Yes
APS51G,COPYBOOK,23,No,Yes
APS51R,COPYBOOK,50,No,Yes
APS51RRH,COPYBOOK,49,No,Yes
APS52G,COPYBOOK,37,No,Yes
APS51D,COPYBOOK,110,No,Yes
APS53B,COPYBOOK,66,No,Yes
APS53C,COPYBOOK,96,No,Yes
APS53F,COPYBOOK,71,No,Yes
APS53K,COPYBOOK,60,No,Yes
APS53L,COPYBOOK,30,No,Yes
APS53R,COPYBOOK,173,No,Yes
APS53RRH,COPYBOOK,172,No,Yes
APS52S,COPYBOOK,141,No,Yes
APS54S,COPYBOOK,182,No,Yes
APS55B,COPYBOOK,25,No,Yes
APS55R,COPYBOOK,105,No,Yes
APS55RRH,COPYBOOK,101,No,Yes
APS54F,COPYBOOK,52,No,Yes
APS56C,COPYBOOK,71,No,Yes
APS56E,COPYBOOK,48,No,Yes
APS56G,COPYBOOK,40,No,Yes
APS57C,COPYBOOK,85,No,Yes
APS57S,COPYBOOK,66,No,Yes
APS58S,COPYBOOK,28,No,Yes
APS59A,COPYBOOK,25,No,Yes
APS58G,COPYBOOK,48,No,Yes
APS60P,COPYBOOK,20,No,Yes
APS60S,COPYBOOK,18,No,Yes
APS60V,COPYBOOK,119,No,Yes
APS60G,COPYBOOK,20,No,Yes
APS61B,COPYBOOK,159,No,Yes
APS61V,COPYBOOK,71,No,Yes
APS60VRH,COPYBOOK,72,No,Yes
APS61VRH,COPYBOOK,66,No,Yes
APS62I,COPYBOOK,21,No,Yes
APS62T,COPYBOOK,43,No,Yes
APS62S,COPYBOOK,17,No,Yes
APS62V,COPYBOOK,214,No,Yes
APS62VRH,COPYBOOK,47,No,Yes
APS62X,COPYBOOK,46,No,Yes
APS63S,COPYBOOK,18,No,Yes
APS63V,COPYBOOK,105,No,Yes
APS63VRH,COPYBOOK,92,No,Yes
APS63W,COPYBOOK,133,No,Yes
APS64C,COPYBOOK,16,No,Yes
APS64G,COPYBOOK,96,No,Yes
APS64R,COPYBOOK,36,No,Yes
APS64S,COPYBOOK,19,No,Yes
APS64T,COPYBOOK,16,No,Yes
APS64V,COPYBOOK,448,No,Yes
APS64VRH,COPYBOOK,372,No,Yes
APS65C,COPYBOOK,12,No,Yes
APS65D,COPYBOOK,39,No,Yes
APS63J,COPYBOOK,46,No,Yes
APS65I,COPYBOOK,27,No,Yes
APS65S,COPYBOOK,24,No,Yes
APS65V,COPYBOOK,290,No,Yes
APS66D,COPYBOOK,85,No,Yes
APS66V,COPYBOOK,128,No,Yes
APS66VRH,COPYBOOK,125,No,Yes
APS67I,COPYBOOK,78,No,Yes
APS65VRH,COPYBOOK,309,No,Yes
APS67V,COPYBOOK,184,No,Yes
APS67VRH,COPYBOOK,172,No,Yes
APS68G,COPYBOOK,31,No,Yes
APS67S,COPYBOOK,18,No,Yes
APS68R,COPYBOOK,50,No,Yes
APS68U,COPYBOOK,109,No,Yes
APS68H,COPYBOOK,24,No,Yes
APS68X,COPYBOOK,453,No,Yes
APS68V,COPYBOOK,81,No,Yes
APS69V,COPYBOOK,124,No,Yes
APS69G,COPYBOOK,14,No,Yes
APS70A,COPYBOOK,96,No,Yes
APS69VRH,COPYBOOK,110,No,Yes
APS70B,COPYBOOK,86,No,Yes
APS70ARH,COPYBOOK,97,No,Yes
APS70G,COPYBOOK,93,No,Yes
APS70BRH,COPYBOOK,87,No,Yes
APS70K,COPYBOOK,83,No,Yes
APS70J,COPYBOOK,88,No,Yes
APS70L,COPYBOOK,88,No,Yes
APS70P,COPYBOOK,94,No,Yes
APS70KRH,COPYBOOK,84,No,Yes
APS70PD1,COPYBOOK,1181,No,Yes
APS70PD,COPYBOOK,1174,No,Yes
APS70PD6,COPYBOOK,1185,No,Yes
APS70PD2,COPYBOOK,1188,No,Yes
APS70U,COPYBOOK,83,No,Yes
APS70UD,COPYBOOK,405,No,Yes
APS70PRH,COPYBOOK,97,No,Yes
APS70V,COPYBOOK,95,No,Yes
APS70VRH,COPYBOOK,93,No,Yes
APS70URH,COPYBOOK,84,No,Yes
APS71A,COPYBOOK,74,No,Yes
APS71B,COPYBOOK,47,No,Yes
APS70W,COPYBOOK,79,No,Yes
APS71J,COPYBOOK,49,No,Yes
APS71K,COPYBOOK,51,No,Yes
APS71G,COPYBOOK,67,No,Yes
APS71P,COPYBOOK,79,No,Yes
APS71R,COPYBOOK,58,No,Yes
APS71L,COPYBOOK,29,No,Yes
APS71V,COPYBOOK,58,No,Yes
APS71U,COPYBOOK,54,No,Yes
APS72B,COPYBOOK,21,No,Yes
APS71W,COPYBOOK,48,No,Yes
APS72X,COPYBOOK,29,No,Yes
APS72M,COPYBOOK,26,No,Yes
APS73B,COPYBOOK,87,No,Yes
APS73A,COPYBOOK,88,No,Yes
APS73P,COPYBOOK,90,No,Yes
APS73K,COPYBOOK,82,No,Yes
APS73RRH,COPYBOOK,27,No,Yes
APS73R,COPYBOOK,26,No,Yes
APS74B,COPYBOOK,22,No,Yes
APS73V,COPYBOOK,81,No,Yes
APS74RRH,COPYBOOK,37,No,Yes
APS74R,COPYBOOK,36,No,Yes
APS78R,COPYBOOK,16,No,Yes
APS78S,COPYBOOK,66,No,Yes
APS78H,COPYBOOK,19,No,Yes
APS80A,COPYBOOK,50,No,Yes
APS80B,COPYBOOK,57,No,Yes
APS79S,COPYBOOK,48,No,Yes
APS80J,COPYBOOK,59,No,Yes
APS80K,COPYBOOK,44,No,Yes
APS80L,COPYBOOK,52,No,Yes
APS80BA,COPYBOOK,110,No,Yes
APS80PD,COPYBOOK,1012,No,Yes
APS80U,COPYBOOK,43,No,Yes
APS80UD,COPYBOOK,249,No,Yes
APS80P,COPYBOOK,57,No,Yes
APS80W,COPYBOOK,43,No,Yes
APS80X,COPYBOOK,43,No,Yes
APS80Z,COPYBOOK,21,No,Yes
APS80V,COPYBOOK,44,No,Yes
APS81B,COPYBOOK,29,No,Yes
APS81A,COPYBOOK,35,No,Yes
APS81K,COPYBOOK,27,No,Yes
APS81J,COPYBOOK,34,No,Yes
APS81O,COPYBOOK,26,No,Yes
APS81L,COPYBOOK,36,No,Yes
APS81U,COPYBOOK,27,No,Yes
APS81P,COPYBOOK,40,No,Yes
APS81W,COPYBOOK,19,No,Yes
APS81V,COPYBOOK,26,No,Yes
APS81X,COPYBOOK,23,No,Yes
APS81WRH,COPYBOOK,20,No,Yes
APS82M,COPYBOOK,13,No,Yes
APS86M,COPYBOOK,53,No,Yes
APS86W,COPYBOOK,39,No,Yes
APS82B,COPYBOOK,20,No,Yes
APS88E,COPYBOOK,19,No,Yes
APS88S,COPYBOOK,41,No,Yes
APS88W,COPYBOOK,15,No,Yes
APS87M,COPYBOOK,30,No,Yes
APS960C,COPYBOOK,63,No,Yes
APSABDPC,COPYBOOK,87,No,Yes
APSACW,COPYBOOK,73,No,Yes
APS91L,COPYBOOK,61,No,Yes
APSAI2,COPYBOOK,17,No,Yes
APSAO1,COPYBOOK,19,No,Yes
APSAO2,COPYBOOK,19,No,Yes
APSAI1,COPYBOOK,16,No,Yes
APSAW2,COPYBOOK,40,No,Yes
APSBI1,COPYBOOK,24,No,Yes
APSBI2,COPYBOOK,24,No,Yes
APSAW1,COPYBOOK,395,No,Yes
APSBO2,COPYBOOK,24,No,Yes
APSBW1,COPYBOOK,144,No,Yes
APSBO1,COPYBOOK,24,No,Yes
APSCI9,COPYBOOK,48,No,Yes
APSCNV,COPYBOOK,59,No,Yes
APSCI1,COPYBOOK,46,No,Yes
APSDDADB,COPYBOOK,98,No,Yes
APSCW3,COPYBOOK,44,No,Yes
APSDX1,COPYBOOK,220,No,Yes
APSDW1,COPYBOOK,119,No,Yes
APSEU820,COPYBOOK,7,No,Yes
APSEO1,COPYBOOK,20,No,Yes
APSGL1,COPYBOOK,17,No,Yes
APSEU910,COPYBOOK,7,No,Yes
APSKI2,COPYBOOK,18,No,Yes
APSKO1,COPYBOOK,18,No,Yes
APSGW1,COPYBOOK,10,No,Yes
APSKW1,COPYBOOK,38,No,Yes
APSLO1,COPYBOOK,17,No,Yes
APSKO2,COPYBOOK,19,No,Yes
APSLW1RH,COPYBOOK,213,No,Yes
APSLW1,COPYBOOK,208,No,Yes
APSMO1,COPYBOOK,24,No,Yes
APSMW1,COPYBOOK,33,No,Yes
APSMI1,COPYBOOK,19,No,Yes
APSPI2,COPYBOOK,20,No,Yes
APSPO1,COPYBOOK,20,No,Yes
APSPI1,COPYBOOK,20,No,Yes
APSPW1,COPYBOOK,403,No,Yes
APSPW2,COPYBOOK,25,No,Yes
APSPO2,COPYBOOK,20,No,Yes
APSRO2,COPYBOOK,28,No,Yes
APSRECPT,COPYBOOK,46,No,Yes
APSRW4,COPYBOOK,49,No,Yes
APSRW9,COPYBOOK,145,No,Yes
APSRW3,COPYBOOK,61,No,Yes
APSTWA,COPYBOOK,283,No,Yes
APSTWB,COPYBOOK,87,No,Yes
APSTRANC,COPYBOOK,671,No,Yes
APSTWG,COPYBOOK,31,No,Yes
APSTWC,COPYBOOK,96,No,Yes
APSTWL,COPYBOOK,36,No,Yes
APSTWV,COPYBOOK,47,No,Yes
APSTWU,COPYBOOK,203,No,Yes
APSUGX,COPYBOOK,23,No,Yes
APSUFX,COPYBOOK,35,No,Yes
APSUSB,COPYBOOK,27,No,Yes
APSUSC,COPYBOOK,33,No,Yes
APSUO1,COPYBOOK,47,No,Yes
APSUSR,COPYBOOK,64,No,Yes
APSUT1,COPYBOOK,35,No,Yes
APSUSO,COPYBOOK,27,No,Yes
APSVI2,COPYBOOK,17,No,Yes
APSVO2,COPYBOOK,17,No,Yes
APSUW1,COPYBOOK,46,No,Yes
APSVW1,COPYBOOK,476,No,Yes
APSVX1,COPYBOOK,456,No,Yes
APSVR1,COPYBOOK,16,No,Yes
APSWC5,COPYBOOK,27,No,Yes
APSWCA,COPYBOOK,192,No,Yes
APSWC3,COPYBOOK,6,No,Yes
APSWCD,COPYBOOK,103,No,Yes
APSWCI,COPYBOOK,39,No,Yes
APSWCC,COPYBOOK,20,No,Yes
APSWF3,COPYBOOK,15,No,Yes
APSWF5,COPYBOOK,9,No,Yes
APSWCQ,COPYBOOK,4,No,Yes
APSWFF,COPYBOOK,36,No,Yes
APSWFG,COPYBOOK,112,No,Yes
APSWFA,COPYBOOK,104,No,Yes
APSWFQ,COPYBOOK,11,No,Yes
APSWG0,COPYBOOK,56,No,Yes
APSWFL,COPYBOOK,17,No,Yes
APSWG2,COPYBOOK,34,No,Yes
APSWG3,COPYBOOK,9,No,Yes
APSWG1,COPYBOOK,337,No,Yes
APSWG4RH,COPYBOOK,169,No,Yes
APSWG5,COPYBOOK,154,No,Yes
APSWG6,COPYBOOK,33,No,Yes
APSWG7,COPYBOOK,19,No,Yes
APSWG8,COPYBOOK,7,No,Yes
APSWG9,COPYBOOK,24,No,Yes
APSWGA,COPYBOOK,12,No,Yes
APSWGB,COPYBOOK,49,No,Yes
APSWGC,COPYBOOK,199,No,Yes
APSWGD,COPYBOOK,78,No,Yes
APSWGDRH,COPYBOOK,78,No,Yes
APSWGE,COPYBOOK,67,No,Yes
APSWGF,COPYBOOK,36,No,Yes
APSWGG,COPYBOOK,70,No,Yes
APSWGH,COPYBOOK,58,No,Yes
APSWGI,COPYBOOK,33,No,Yes
APSWGJ,COPYBOOK,215,No,Yes
APSWGK,COPYBOOK,44,No,Yes
APSWG4,COPYBOOK,172,No,Yes
APSWGL,COPYBOOK,60,No,Yes
APSWGLRH,COPYBOOK,60,No,Yes
APSWGM,COPYBOOK,20,No,Yes
APSWGO,COPYBOOK,143,No,Yes
APSWGQ,COPYBOOK,51,No,Yes
APSWGR,COPYBOOK,92,No,Yes
APSWGS,COPYBOOK,24,No,Yes
APSWGT,COPYBOOK,40,No,Yes
APSWGN,COPYBOOK,33,No,Yes
APSWGV,COPYBOOK,41,No,Yes
