component_name,component_type,tloc,orphan,Inscope
AU21P01,COBOL,4344,Yes,Yes
AU23P01,COBOL,1053,Yes,Yes
AU19P01,COBOL,3272,Yes,Yes
AU27P01,COBOL,2036,Yes,Yes
AU25P01,COBOL,1400,Yes,Yes
AU33P01,COBOL,5527,Yes,Yes
AU35P01,COBOL,3252,Yes,Yes
AU37P01,COBOL,2310,Yes,Yes
AU39P01,COBOL,2875,Yes,Yes
AU31P01,COBOL,1057,Yes,Yes
AU41P01,COBOL,4142,Yes,Yes
AU45P01,COBOL,2322,Yes,Yes
AU47P01,COBOL,2291,Yes,Yes
AU43P01,COBOL,2861,Yes,Yes
AU51P01,COBOL,1621,Yes,Yes
AU49P01,COBOL,2697,Yes,Yes
AU56P01,COBOL,1626,Yes,Yes
AU53P01,COBOL,3956,Yes,Yes
AU59P01,COBOL,1525,Yes,Yes
AU61P01,COBOL,681,Yes,Yes
AU63P01,COBOL,2870,Yes,Yes
AU65P01,COBOL,1937,Yes,Yes
AU99P01,COBOL,507,Yes,Yes
AUD001,COBOL,1072,No,Yes
AU57P01,COBOL,1640,Yes,Yes
AUD002,COBOL,2896,No,Yes
AUD002,COBOL,2896,No,Yes
AUD004,COBOL,2004,No,Yes
AUD009,COBOL,559,No,Yes
AUD010,COBOL,3547,No,Yes
AUD003,COBOL,1988,No,Yes
AUD012,COBOL,1467,No,Yes
AUD015,COBOL,1594,No,Yes
AUD020,COBOL,4716,No,Yes
AUD021,COBOL,516,No,Yes
AUD022,COBOL,290,No,Yes
AUD011,COBOL,517,No,Yes
AUD035,COBOL,2022,No,Yes
AUD030,COBOL,2490,No,Yes
AUD039,COBOL,697,No,Yes
AUD041,COBOL,838,No,Yes
AUD042,COBOL,2394,No,Yes
AUD036,COBOL,887,No,Yes
AUD042,COBOL,6536,No,No
AUD042,COBOL,5,No,No
AUD042,COBOL,2000,No,Yes
AUD044,COBOL,404,No,Yes
AUD050,COBOL,23560,No,Yes
AUD043,COBOL,1127,No,Yes
AUD053,COBOL,2502,No,Yes
AUD055,COBOL,715,No,Yes
AUD060,COBOL,671,No,Yes
AUD061,COBOL,1194,No,Yes
AUD051,COBOL,23594,No,Yes
AUD070,COBOL,1052,No,Yes
AUD063,COBOL,4966,No,Yes
AUD072,COBOL,1730,No,Yes
AUD073,COBOL,2165,No,Yes
AUD074,COBOL,2159,No,Yes
AUD071,COBOL,3157,No,Yes
AUD075,COBOL,773,No,Yes
AUD076,COBOL,783,No,Yes
AUD077,COBOL,511,No,Yes
AUD080,COBOL,1021,No,Yes
AUD081,COBOL,1978,No,Yes
AUD082,COBOL,609,No,Yes
AUD078,COBOL,684,No,Yes
AUD087,COBOL,1053,No,Yes
AUD083,COBOL,1243,No,Yes
AUD100,COBOL,4096,No,Yes
AUD1000,COBOL,406,No,Yes
AUD1001,COBOL,417,No,Yes
AUD1004,COBOL,63,No,Yes
AUD101,COBOL,2140,No,Yes
AUD105,COBOL,3270,No,Yes
AUD110,COBOL,2087,No,Yes
AUD1002,COBOL,63,No,Yes
AUD112,COBOL,2599,No,Yes
AUD111,COBOL,1181,No,Yes
AUD113,COBOL,1730,No,Yes
AUD114,COBOL,732,Yes,Yes
AUD115,COBOL,1194,No,Yes
AUD116,COBOL,2610,No,Yes
AUD120,COBOL,2776,No,Yes
AUD121,COBOL,792,No,Yes
AUD130,COBOL,1109,No,Yes
AUD140,COBOL,834,No,Yes
AUD150,COBOL,2859,No,Yes
AUD156,COBOL,577,No,Yes
AUD160,COBOL,2681,No,Yes
AUD165,COBOL,2106,No,Yes
AUD180,COBOL,1439,No,Yes
AUD155,COBOL,565,No,Yes
AUD201,COBOL,1770,No,Yes
AUD202,COBOL,691,No,Yes
AUD200,COBOL,2238,No,Yes
AUD205,COBOL,2284,No,Yes
AUD210,COBOL,2233,No,Yes
AUD203,COBOL,1926,No,Yes
AUD211,COBOL,1925,No,Yes
AUD215,COBOL,2532,No,Yes
AUD220,COBOL,1023,No,Yes
AUD225,COBOL,2510,No,Yes
AUD230,COBOL,2020,No,Yes
AUD240,COBOL,2340,No,Yes
AUD260,COBOL,1102,No,Yes
AUD212,COBOL,1303,No,Yes
AUD280,COBOL,1320,No,Yes
AUD290,COBOL,1171,No,Yes
AUD295,COBOL,1268,No,Yes
AUD270,COBOL,1328,No,Yes
AUD300,COBOL,1451,No,Yes
AUD310,COBOL,2329,No,Yes
AUD330,COBOL,1811,No,Yes
AUD340,COBOL,2530,No,Yes
AUD349,COBOL,856,No,Yes
AUD350,COBOL,3940,No,Yes
AUD351,COBOL,705,No,Yes
AUD352,COBOL,3875,No,Yes
AUD345,COBOL,1943,No,Yes
AUD440,COBOL,1786,No,Yes
AUD380,COBOL,1982,No,Yes
AUD450,COBOL,2398,No,Yes
AUD455,COBOL,2531,No,Yes
AUD445,COBOL,772,No,Yes
AUD470,COBOL,3533,No,Yes
AUD475,COBOL,3613,No,Yes
AUD482,COBOL,1357,No,Yes
AUD460,COBOL,1904,No,Yes
AUD484,COBOL,1338,No,Yes
AUD487,COBOL,537,No,Yes
AUD490,COBOL,1161,No,Yes
AUD491,COBOL,1100,No,Yes
AUD500,COBOL,2865,No,Yes
AUD483,COBOL,1484,No,Yes
AUD505,COBOL,1769,No,Yes
AUD510,COBOL,2893,No,Yes
AUD520,COBOL,2661,No,Yes
AUD525,COBOL,2369,No,Yes
AUD530,COBOL,2441,No,Yes
AUD501,COBOL,2385,No,Yes
AUD540,COBOL,3050,No,Yes
AUD550,COBOL,2050,No,Yes
AUD560,COBOL,1153,No,Yes
AUD565,COBOL,1396,No,Yes
AUD535,COBOL,3066,No,Yes
AUD575,COBOL,1049,No,Yes
AUD580,COBOL,1258,No,Yes
AUD585,COBOL,916,No,Yes
AUD570,COBOL,1523,No,Yes
AUD600,COBOL,1657,No,Yes
AUD601,COBOL,447,No,Yes
AUD588,COBOL,748,No,Yes
AUD610,COBOL,1888,No,Yes
AUD603,COBOL,341,No,Yes
AUD620,COBOL,1398,No,Yes
AUD630,COBOL,1531,No,Yes
AUD632,COBOL,1921,No,Yes
AUD615,COBOL,686,No,Yes
AUD641,COBOL,1635,No,Yes
AUD642,COBOL,468,No,Yes
AUD650,COBOL,1356,No,Yes
AUD660,COBOL,2672,No,Yes
AUD640,COBOL,2876,No,Yes
AUD662,COBOL,1911,No,Yes
AUD665,COBOL,1837,No,Yes
AUD680,COBOL,1294,No,Yes
AUD661,COBOL,1337,No,Yes
AUD700,COBOL,1249,No,Yes
AUD685,COBOL,1101,No,Yes
AUD770,COBOL,2330,No,Yes
AUD710,COBOL,123,No,Yes
AUD771,COBOL,3232,No,Yes
AUD770A,COBOL,624,No,Yes
AUD774,COBOL,1097,No,Yes
AUD774,COBOL,1097,No,Yes
AUD772,COBOL,3232,No,Yes
AUD775,COBOL,1796,No,Yes
AUD777,COBOL,2559,No,Yes
AUD776,COBOL,2885,No,Yes
AUD801,COBOL,2070,No,Yes
AUD802,COBOL,18278,No,Yes
AUD778,COBOL,1096,No,Yes
AUD804,COBOL,742,No,Yes
AUD805,COBOL,18004,No,Yes
AUD850,COBOL,1510,No,Yes
AUD851,COBOL,510,No,Yes
AUD803,COBOL,530,No,Yes
AUD860,COBOL,1503,No,Yes
AUD855,COBOL,837,No,Yes
AUD870,COBOL,2102,No,Yes
AUD871,COBOL,1935,No,Yes
AUD872,COBOL,2058,No,Yes
AUD880,COBOL,3657,No,Yes
AUD865,COBOL,1862,No,Yes
AUD889,COBOL,911,No,Yes
AUD890,COBOL,828,No,Yes
AUD891,COBOL,2268,No,Yes
AUD901,COBOL,1593,No,Yes
AUD902,COBOL,810,No,Yes
AUD881,COBOL,2297,No,Yes
AUD904,COBOL,644,No,Yes
AUD905,COBOL,1521,No,Yes
AUD906,COBOL,855,No,Yes
AUD907,COBOL,479,No,Yes
AUD903,COBOL,1530,No,Yes
AUD909,COBOL,522,No,Yes
AUD920,COBOL,1560,No,Yes
AUD908,COBOL,471,No,Yes
AUD951,COBOL,1379,No,Yes
AUD970,COBOL,2548,No,Yes
AUD950,COBOL,1441,No,Yes
AUD990,COBOL,1402,No,Yes
AUD985,COBOL,1181,No,Yes
AUD992,COBOL,460,No,Yes
AUD993,COBOL,1176,No,Yes
AUD991,COBOL,5041,No,Yes
AUD995,COBOL,1763,No,Yes
AUD994,COBOL,3984,No,Yes
AUD997,COBOL,303,No,Yes
AUD998,COBOL,249,No,Yes
AUD999,COBOL,247,No,Yes
AUD996,COBOL,232,No,Yes
AUDB01,COBOL,4064,No,Yes
AUDC01,COBOL,2990,No,Yes
AUDA01,COBOL,4180,No,Yes
AUDC03,COBOL,519,No,Yes
AUDC02,COBOL,425,No,Yes
AUDDIP,COBOL,2347,No,Yes
AUDE01,COBOL,1295,No,Yes
AUDE02,COBOL,765,No,Yes
AUDD01,COBOL,2906,No,Yes
AUDG01,COBOL,815,No,Yes
AUDF01,COBOL,817,No,Yes
AUDG20,COBOL,1981,No,Yes
AUDG30,COBOL,1433,No,Yes
AUDG10,COBOL,1308,No,Yes
