instance,jcl_component,jcl_app_name,jcl_app_owner,composite_component,called_component,app_name
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,IUTU0100,Actuarial
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,UTCB9010,Actuarial
Colombus,PCARR050,Actuarial,"Hutto, Amy",ICRB515X,UTCB9020,Actuarial
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,IDPI995,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,VSAMIO,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,DISAMIO,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD040,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",IDPI995X,UTAB1001,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",LT05X,LT05,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",LT05X,IOCONTRL,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",LT05X,VSAMIO,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",LT05X,DISAMIO,Life 70 (core batch processing stay on mainframe)
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB11X,NB11,Actuarial
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB11X,VSAMIO,Actuarial
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB11X,IOCONTRL,Actuarial
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB11X,DISAMIO,Actuarial
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB12X,NB12,Actuarial
Colombus,PCAXR010,Actuarial,"Hutto, Amy",NB12X,IOCONTRL,Actuarial
Colombus,PCAXR030,Actuarial,"Hutto, Amy",NB13X,NB13,Actuarial
Colombus,PCAXR030,Actuarial,"Hutto, Amy",NB13X,VSAMIO,Actuarial
Colombus,PCAXR030,Actuarial,"Hutto, Amy",NB13X,IOCONTRL,Actuarial
Colombus,PCAXR030,Actuarial,"Hutto, Amy",NB13X,DISAMIO,Actuarial
Colombus,PCAXR040,Actuarial,"Hutto, Amy",NB15X,NB15,Actuarial
Colombus,PCAXR040,Actuarial,"Hutto, Amy",NB15X,VSAMIO,Actuarial
Colombus,PCAXR040,Actuarial,"Hutto, Amy",NB15X,IOCONTRL,Actuarial
Colombus,PCAXR040,Actuarial,"Hutto, Amy",NB15X,DISAMIO,Actuarial
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,NBCBPEND,Batch Trac
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,LACUHEIR,Batch Trac
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,GMCUBRKR,Batch Trac
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,WECUENR0,Batch Trac
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,UXCUSTF0,Batch Trac
Colombus,PCNBD905,Batch Trac,"Hutto, Amy",NBCBPEND,NBCULOGI,Batch Trac
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,NNBIC215,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,NNBIC216,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,NNBIC217,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,PCCB0405,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,UTCB9010,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,DIUTIL1,Life 70 - Underwriting
Colombus,PCNPD050,Life 70 - Underwriting,"Hutto, Amy",NNBIC21X,UTCB9020,Life 70 - Underwriting
Colombus,PCNPD010,Life 70 - Underwriting,"Hutto, Amy",NP2000SX,NP2000S,Life 70 - Underwriting
Colombus,PCNPD010,Life 70 - Underwriting,"Hutto, Amy",NP2000SX,VSAMIO,Life 70 - Underwriting
Colombus,PCNPD010,Life 70 - Underwriting,"Hutto, Amy",NP2000SX,DISAMIO,Life 70 - Underwriting
Colombus,PCNPD010,Life 70 - Underwriting,"Hutto, Amy",NP2000SX,IOCONTRL,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NP30060,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,UTAB0010,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NP30010,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,VSAMIO,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,TXCVMYTD,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,DISAMIO,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NPGETNXE,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NPGETEL,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,DPX1030,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NPBLDIR,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,DPX1012,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,NPCOMREC,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,DPX1011,Life 70 - Underwriting
Colombus,PCNPD090,Life 70 - Underwriting,"Hutto, Amy",NP30060X,BNPPDR,Life 70 - Underwriting
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NP39000,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NP10030,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,VSAMIO,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1010,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1030,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1040,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,DPX1050,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,MORTREAD,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NPBLDIR,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD025,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",NP39000X,NPCOMREC,Life 70 (core batch processing stay on mainframe)
