component_name,component_type,app_name,app_owner,action,server_name,directory_name,source,destination,instance
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,PUT 'PC.NPXX.PHSDESKS.FLAT.FILE.COM,PC.EDAIFTP,PC.NPXX.PHSDESKS.FLAT.FILE.COMB,PHSDESKCODES.TXT,Columbus
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.DETAIL.FILE(+0),PENDEDDETAIL.TXT,Columbus
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.LTRCODE.FILE(+0),PENDEDLTRCODE.TXT,Columbus
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.MASTER.FILE(+0),PENDEDMASTER.TXT,Columbus
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.ANNUAL.PREMIUM(+0),PENDEDPREMIUM.TXT,Columbus
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,KEY.TXT,PC.NPPS.FFA.DOWNLOAD.KEY,Columbus
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,COUNT.TXT,PC.NPPS.FFA.DOWNLOAD.CNT,Columbus
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,BALANCENEW.TXT,PC.NPPS.FFA.DOWNLOAD.BAL,Columbus
PCNPR920,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.FILLABLEPDF,//DD:INFILE,COLFILLPDF.TXT,Columbus
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PC.NRPS.IBS.NREB0560.MTS.LETTERS(+1),           ",PCEXD50201.SEEDS,Columbus
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PC.NRPS.IBS.NREB0560.MTS.CMDLINE(+1),           ",PCEXD50201.TXT,Columbus
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PCEXD50201CMD.TXT,Columbus
PCPCD087,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PARTNER.FILE.XFER\USAA\OUTGOING,//DD:FTPOUT1,POLICY.CSV,Columbus
PCPCD175,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SAP_ERPHR/OUTBOUND/BN/WWHQADDRESSTOCIF,CIF_CENSUS.CSV,PC.PCPS.HRFILE.FOR.UPDATE(+0),Columbus
PCPCD337,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,,,PC.PFPS.MINIRATE.DOWNLOAD(0),MINIRATE.TXT,Columbus
PCPCD337,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,,,PP.NPPS.SAMPLE.POLICY.TABLE(0),EOSPLANS.TXT,Columbus
PCPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PC.PCPS.RET.LETTERS.MTS.FILE(+1),DISP=SHR       ",PCEXD50901.SEEDS,Columbus
PCPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PC.PCPS.RET.LETTERS.MTS.CMDLINE(+1),DISP=SHR    ",PCEXD50901.TXT,Columbus
PCPCD509,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PCEXD50901CMD.TXT,Columbus
PACPD004,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,JPM.PROV.REJECTS.RETURNS.NY.TXT,"PA.CPPS.JPMC.REJRTNS.PROV(+1),                 ",Newyork
PACPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,CLAIMS_ATTRIBUTES,"PA.CPPS.CPCB0198.ATTRFILE(+1),                  ",CLAIMS_NY_CURRENT_ATTRIBUTES.CSV,Newyork
PACPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,CLAIMS_ATTRIBUTES,"PA.CPPS.CPCB0198.AUDFILE(+1),                   ",CLAIMS_NY_AUDIT_ATTRIBUTES.CSV,Newyork
PACPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,ENTITLEMENT_FEEDS,"PA.CPPS.CPCB0198.ATTRFILE(+1),                  ",CLAIMS_NY_CURRENT_ATTRIBUTES.CSV,Newyork
PACPD400,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,BOUNCED_EMAILS_EOB_NY.TXT,PA.CPPS.EMAIL.FAIL,Newyork
PACPD400,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PA.CPPS.EMAIL.FAIL.NINES,BOUNCED_EMAILS_EOB_NY.TXT,Newyork
PACPD450,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.SIU,//DD:INFILE1,SIU.TXT,Newyork
PACPD702,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PA.CPPS.CPCB7055.PRV835.NY.FTP,AFLAC_PRV835_NY.DJPM_CLPNY,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PA.CPPS.CPCB7013.NY.SPREAD.SHEET(+0),NEWYORK_SP_SHEET.CSV,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PA.CMPS.CPCB7012.NY.MS.SPREAD.SHEET(0),NEWYORK_MD_SHEET.CSV,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PA.CDPS.CPCB7015.NY.DE.SPREAD.SHEET(0),NEWYORK_DE_SHEET.CSV,Newyork
